QUERYID,CASE_NUM,CASE_YEAR,REGN_CNTY_CDE,COMP_MUNI,MUNITYPE,REF_MRKR,ATINTERSECTION_IND,COMPX,COMPY,ACC_DATE,ACCD_TME,DMV_ACCD_CLSF,NUM_OF_INJURIES,NUM_OF_FATALITIES,NUM_OF_VEH,ACCD_TYP,COLLISION_TYP,TRAF_CNTL,LIGHT_COND,WEATHER,ROAD_SURF_COND
6836 ,34069237,2011 ,MONROE,Rochester,,940K43011008,Y,283780 ,4781949 , 10/01/2011,11:53 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,UNKNOWN,NONE,DAYLIGHT,CLOUDY,WET
6836 ,34069374,2011 ,MONROE,Rochester,,,Y,286459 ,4780582 , 10/16/2011,6:18 PM,INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,RIGHT ANGLE,STOP SIGN,DARK-ROAD UNLIGHTED,RAIN,WET
6836 ,34070087,2011 ,MONROE,Greece,,104 43031168,N,282664 ,4787237 , 10/26/2011,9:52 PM,INJURY,1 ,0 ,1 ,COLLISION WITH CURBING,OTHER,NONE,DARK-ROAD LIGHTED,RAIN,WET
6836 ,34070089,2011 ,MONROE,Greece,,104 43031135,Y,278025 ,4788285 , 10/11/2011,10:13 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,COLL. W/LIGHT SUPPORT/UTILITY POLE,OTHER,NONE,DARK-ROAD LIGHTED,CLOUDY,DRY
6836 ,34070390,2011 ,MONROE,Henrietta,,,N,289532 ,4769336 , 10/21/2011,6:20 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,COLLISION WITH DEER,OTHER,NONE,DARK-ROAD UNLIGHTED,CLOUDY,DRY
6836 ,34070491,2011 ,MONROE,Webster,,,Y,296097 ,4788784 , 10/20/2011,7:44 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,LEFT TURN (WITH OTHER CAR),NONE,DAYLIGHT,CLOUDY,WET
6836 ,34070492,2011 ,MONROE,Gates,,,N,276117 ,4782290 , 10/25/2011,6:57 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,RIGHT ANGLE,TRAFFIC SIGNAL,DARK-ROAD UNLIGHTED,RAIN,WET
6836 ,34070503,2011 ,MONROE,Webster,,,N,304946 ,4791829 , 10/24/2011,6:11 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,COLLISION WITH TREE,OTHER,NONE,DARK-ROAD UNLIGHTED,RAIN,WET
6836 ,34070505,2011 ,MONROE,Brighton,, 15A43041128,N,287148 ,4776100 , 10/25/2011,5:36 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,TRAFFIC SIGNAL,DAYLIGHT,RAIN,WET
6836 ,34070509,2011 ,MONROE,Rush,,,N,282618 ,4766167 , 10/23/2011,11:19 PM,INJURY,1 ,0 ,1 ,COLLISION WITH DEER,OTHER,NONE,DARK-ROAD UNLIGHTED,CLEAR,DRY
